No.,Title,Link
158,Management factors affecting densities of common grassland birds of high elevation grasslands of eastern South Africa: Ingula as a case study,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0063-8
159,Avian Research: a valuable addition to the portfolio of ornithological journals,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0062-9
160,Lophozonia tree cavities used for nesting by Slender-billed Parakeets (Enicognathus leptorhynchus) in the central valley of southern Chile: a potentially vanishing keystone resource,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0061-x
161,Development and characterization of novel microsatellite markers for the Common Pheasant (Phasianus colchicus) using RAD-seq,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0060-y
162,The role of climate factors in geographic variation in body mass and wing length in a passerine bird,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-016-0059-9
163,Waterbird use of farm dams in south-eastern Australia: abundance and influence of biophysical and landscape characteristics,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-016-0058-x
164,A growing captive population erodes the wild Red-crowned Cranes (Grus japonensis) in China,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-016-0056-z
165,Egg-spot matching in common cuckoo parasitism of the oriental reed warbler: effects of host nest availability and egg rejection,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-016-0057-y
166,Variation in egg and clutch size of the Black Redstart (Phoenicurus ochruros) at the northeastern edge of the Qinghai-Tibetan Plateau,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-016-0055-0
167,Comparing post-release survival and habitat use by captive-bred Cabot’s Tragopan (Tragopan caboti) in an experimental test of soft-release reintroduction strategies,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-016-0053-2
168,"Nest predators, nest-site selection and nest success of the Emei Shan Liocichla (Liocichla omeiensis), a vulnerable babbler endemic to southwestern China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-016-0054-1
169,"Molecular phylogeny, morphology and life-history comparisons within Circus cyaneus reveal the presence of two distinct evolutionary lineages",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-016-0052-3
170,Birds caught in spider webs in Asia,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-016-0051-4
171,"Response of tropical avifauna to visitor recreational disturbances: a case study from the Sinharaja World Heritage Forest, Sri Lanka",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-016-0050-5
172,First record of Common Tailorbird (Orthotomus sutorius) parasitism by Plaintive Cuckoo (Cacomantis merulinus) in Bangladesh,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-016-0049-y
